State,State Code,2013 Urbanization,Suicide,Homicide Rate,DrugOD,Alcohol,Diabetes
Arkansas,5,Large Fringe Metro,13.2,23.4,16.9,5.34,57.6
Arkansas,5,Medium Metro,17.8,7.2,14.5,9.4,31.9
Arkansas,5,Small Metro,19.8,12.4,17.9,10,29.7
Arkansas,5,Micropolitan (Nonmetro),20.3,9.4,13.9,10.2,40.4
Arkansas,5,NonCore (Nonmetro),21.2,7.1,13.9,10.2,41.6
Arkansas,5,,19.1,8.5,14.7,9.7,35.5
Illinois,17,Large Central Metro,8.7,14,22,8.5,22.1
Illinois,17,Large Fringe Metro,11,3.4,17.4,7.4,19.2
Illinois,17,Medium Metro,14.7,7,25.5,11.8,24.8
Illinois,17,Small Metro,13.9,5.2,19.7,9.6,21.7
Illinois,17,Micropolitan (Nonmetro),16.6,2.6,17.8,10.2,28.2
Illinois,17,NonCore (Nonmetro),17.5,2.3,15.4,6.9,33.6
Illinois,17,,11.2,8,20,8.5,22.3
Indiana,18,Large Central Metro,14.6,17.4,35.6,14.4,26.9
Indiana,18,Large Fringe Metro,15.3,5.8,24.9,9.9,27.2
Indiana,18,Medium Metro,14.9,7.5,21.7,12.9,32.1
Indiana,18,Small Metro,15.4,4,21.1,11.8,28.3
Indiana,18,Micropolitan (Nonmetro),16.1,3.2,22.9,9.3,39.6
Indiana,18,NonCore (Nonmetro),17.3,2.7,20.9,8.3,39.3
Indiana,18,,15.4,6.8,24.7,11.1,30.8
Iowa,19,Medium Metro,15.7,3.5,14.5,12.8,22.8
Iowa,19,Small Metro,12.6,2.3,8.1,10.9,22.6
Iowa,19,Micropolitan (Nonmetro),17.7,3,10.9,14.4,36.6
Iowa,19,NonCore (Nonmetro),14.8,1.5,7.5,11.2,40.5
Iowa,19,,15.2,2.7,10.8,12.2,29.3
Kentucky,21,Large Central Metro,17,13.3,41.7,13,27.5
Kentucky,21,Large Fringe Metro,16.2,2.6,45.2,12.3,29.7
Kentucky,21,Medium Metro,15.2,5.5,35.1,12.3,29.1
Kentucky,21,Small Metro,17.1,4.9,17.3,10.2,31
Kentucky,21,Micropolitan (Nonmetro),18.7,5,28.6,9.7,35.7
Kentucky,21,NonCore (Nonmetro),18.9,5.1,28.5,9.8,44.8
Kentucky,21,,17.3,6.2,33.3,11.2,33.8
Louisiana,22,Large Central Metro,11.8,34.8,39,6.6,25.7
Louisiana,22,Large Fringe Metro,15.4,10.4,33.2,8.3,20.5
Louisiana,22,Medium Metro,14.3,13.5,19.3,7.6,26.2
