FIPS,Per_Farm_Sales_Less_10000,Per_Farm_Sales_10000_249999,Per_Farm_Sales_Gr_250000,MARKET_VALUE,Per_Crop_Sales,Per_Grain_Mark_Val,Per_Cotton_Mark_Val,Per_Tob_Mark_Val,Per_Other_Crop_Mark_Val,Per_Veg_Sale_Mkt_Val,Per_Fruit_Sales_Mkt_Val,Per_Nursery_Sales_Val,Per_Cut_Tree_Sales_Val,Per_Ani_Sales_Mark_Val,Per_Poul_Sales_Mark_Val,Per_Milk_Sales_Mrk_Val,Per_Cattle_Sales_Mrk_Val,Per_Hog_Sales_Mrk_Val,Per_Sheep_Sales_Mrk_Val,PER_AQ_SALES,PER_EQ_SALES,PER_SP_AN_SALES,Net_Income_Total,Net_Income_Per_Farm,Net_Income_Per_Producer,Net_Income_Per_Prod_Per_Farm,Dir_Sales_Per_Farm,Gov_Payments_Per_Farm,Per_Farm_Gov_Payment,Conserv_Payments_PerFarm,Fed_Pay_Per_Farm,CCC_Loan_Per_Farm,Per_Exp_Livestock,Per_Exp_Feeds,Per_Exp_Seed,Per_Exp_Fert,Per_Exp_Chem,Per_Exp_Interest,Market_Value_Land_perFarm,Mar_Val_Equip_perFarm,Per_Prod_Farmers,Per_Prod_Other,Per_Prod_Off_Farm_100Days,Prod_Aver_Age,Per_Prod_Over65,Per_Farms_LE35Years,Per_Farms_Beg_Prod,Per_Farms_Fem_Prod,Per_Farms_NAIA_Prod,Per_Farms_Asian_Prod,Per_Farms_Black_Prod,Per_Farms_Hawaiian,Per_Farms_White_Prod,Per_Farm_Latino,Farm_Num,Change_Farm_Num,Av_Farm_Size,Per_Farm_Tot_Land_Area,Farmland_Irrigated_Acres.Per_Acres,Per_Cropland_Total_Area,Crop_Per_Farmland,Har_Crop_Per_Farmland,Per_Irrigated_All_Cropland,Per_Pasture_Farmland,Per_Irrig_Pasture,Per_Farmland_Conserv,Per_Farmland_Crop_Insur,Per_Cropland_FerLime,Per_Cropland_Fert,Per_Cropland_Manure,Per_Cropland_Insecticide,Per_Crops_Herbicide,Per_Cropland_Fungicide,Per_Fam_Farm,Per_Farm_Corperate,Per_Farms_Internet,Per_Irrig_Cropland_.Corn_Harvest_Grain,Per_Cropland_.Corn_Harvest_Grain,Per_Corn_Silage_Harv_Cropland,Per_Sorghum_Grain_Irrigated,Per_Grain_Sorghum_Harv,Per_Irrig_Wheat_.Harvest,Per_Wheat_Harv_Cropland,Per_Barley_Harvest_Grain,Per_Oats_Grain_Cropland,Per_Rice_Harvest,Per_Rye_Harv_Crop,Per_Sunflower_Oil_Harv,Per_Sunflower_NonOil_Harv,Per_Canola_Harvest_Cropland,Per_Cotton_Harv_Cropland,Per_Cotton_Irrigated_Harvest,Per_Tobacco_Harvest_Cropland,Per_Soybean_Irrigated,Per_Soybean_Harvest_Cropland,Per_Drybean_Harvest_cropland,Per_DryPea_Harvest_Cropland,Per_Potatoes_Harvest_Cropland,Per_Sugarbeets_Harvest_Cropland,Per_Sugarcane_Harvest_Cropland,Per_Peanuts_Harvest_Cropland,Per_Forage_Harvest_Cropland,Per_Hay_Harvest_Cropland,Per_Alfalfa_Harvest_Cropland,Per_Alfalfa_Irrigated,Per_DryHay_Harvest_Cropland,Per_AlfalfaHaylage_Harvest_Cropland,Per_OtherHaylage_Harvest_Cropland,Per_Vegetables_Harvest_Cropland,Per_Asparagus_Harv_Veges,Per_SnapBeans_Harvest_Vege,Per_Broccoli_Harvest_Vege,Per_Cabbage_Harvest_Vege,Per_Cantaloupes_Harvest_Vege,Per_Cucumbers_Harv_Vege,Per_Lettuce_Harv_Vege,Per_Onions_Harvest_Vege,Per_GreenPeas_Harv_Vege,Per_SweetCorn_Harv_Vege,Per_Tomatoes_Harv_Vege,Per_Watermelons_Harv_Vege,Per_Strawberries_Harv_Cropland,Per_Orchards_Cropland,Per_Irrigated_Orchards_Cropland,Per_Apples_Orchards,Per_Avocados_Orchards,Per_SweetCherries_Orchards,Per_TartCherries_Orchards,Per_Grapes_Orchards,Per_Peaches_Orchards,Per_Pears_Orchards,Per_Plums_Orchards,Per_Grapefruit_Orchards,Per_Lemons_Orchards,Per_ValenciaOranges_Orchards,Per_Oranges_Orchards,Per_Almonds_Orchards,Per_Pecans_Orchards,Per_Walnuts_Orchards,Per_Farms_Floriculture,AN_OPER,FEM_AN_OPER,Per_Fem_Animal_OP,CROP_OPER,Fem_Crop_Prod,Per_Fem_Crop,Cattle_Operations,Milk_Operations,Poul_Total_Oper,Hog.Oper,TOT_SHEEP_Oper,EQUI_OPER,TOT_AQUA_OPER,OthAn_Oper,Grain_Oper,Toba_Oper,COTT_OPER,VEGE_OPER,HORT_OPER,FRUIT_OPER,CUTTREE_OPER,FCHay_Oper,CoverCropOp,OPER_GOVT_PROG,SilvoOper
5001,45.08,16.6,38.32,"214,280,000",99.61,99.46,0,0,0.04,0,0.03,0.04,0.04,0.39,0.01,0,0.34,0.01,0.01,0,0.01,0.03,75724648,155173,59902877,122752,827,52768,85.86,6373,57327,84027,0.02,0.18,15.38,19.36,17.31,3.35,2675627,312157,47.7,52.3,35.95,56.6,32.47,10.04,40.16,48.77,0.61,0,3.89,0,95.7,0.41,488,-0.03,849,65.5,75.86,56.73,86.64,81.12,90.86,1.68,1.92,3.53,43.53,73.52,73.2,1.26,78.18,94.57,59.35,55.12,12.5,68.65,90.33,13.86,0,0.01,0.03,12.25,1.35,0,0.15,24.12,0,0,0,0,0,0,0,92.92,61.16,0,0,0,0,0,0,0.32,0.32,0,0,0.32,0,0,0,2.36,2.36,2.36,2.36,0,2.36,6.3,0,0,4.72,10.24,11.81,0,0,0.02,3.8,0,0,0,0,3.8,0,2.39,0,0,0,0,0,85.79,0,0.2,33,17,51.51515152,282,129,46,25,0,9,2,5,11,0,8,263,0,0,4,4,4,1,13,51,186,9
5003,65.16,20.96,13.88,"70,196,000",90.38,62.08,20.91,0,0.31,6.06,0.34,0.34,0.34,9.62,8.05,0,0.97,0.5,0.01,0.01,0.07,0.01,23134160,65536,15105370,42791,1341,46961,32.86,9042,44360,3.00E+05,1.15,2.88,19.34,12.87,14.69,2.33,1081824,201843,35.76,64.24,39.83,57.9,32.03,10.48,32.29,51.27,0,0,3.68,0,97.17,3.4,353,-0.21,374,22.3,67.38,17.55,78.77,72.92,92.41,6.4,0,5.53,66.49,72.27,70.54,1.61,70.74,90.1,20.37,75.07,9.63,64.87,90.58,18.78,0,0,0,0,1.61,0,2.72,2.16,0,0,0,0,21.42,97.09,0,94.85,54.58,0,0,0.02,0,0,0,2.36,2.36,0,0,2.36,0,0,0.41,0,0,0,0,0,13.24,0,0,0,0,62.9,0.87,0,0.15,0.02,1.78,0,0.19,0.16,1.24,80,15.01,0.04,0.01,0,0.01,0.01,0,0.17,0,0.28,137,82,59.8540146,148,66,45,121,0,27,1,3,19,2,8,76,0,30,26,3,2,2,45,15,53,2
5005,67.64,30.9,1.46,"31,762,000",2.75,0,0,0,1.99,0.1,0.33,0.33,0,97.25,62,0,34.37,0.05,0.17,0.4,0.21,0.04,5973324,12470,-92058,-192,2802,5629,9.6,3005,5872,0,28.96,38.19,0.4,2.58,1.17,4.54,569724,58020,37.33,62.67,52.12,56,37.09,15.87,33.82,62.84,1.25,0,0,0,99.37,1.25,479,-0.53,212,28.6,0.03,3.74,13.09,10.4,0.31,60.79,0,0.61,13.08,106.08,33.41,36.01,7.94,86.84,0.05,90.4,2.51,80.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.61,97.38,0,0,97.38,0,2.24,0.08,16.67,0,0,0,0,1.29,2.48,0,0,0,16.28,0,0,0.13,0.02,36.63,0,13.37,0,0,23.26,10.47,2.39,0,0,0,0,0,0.17,0,0.63,328,215,65.54878049,115,68,59,310,0,45,10,30,19,1,10,0,0,0,7,3,8,0,104,12,8,17
5007,56.56,31.25,12.19,"593,372,000",1.27,0.26,0,0,0.56,0.04,0.06,0.31,0.04,98.73,90.34,0.69,7.01,0.54,0.05,0.01,0.06,0.03,194659040,100547,35322237,18245,3280,7735,3.05,4973,7974,0,26.77,48.5,0.29,0.74,0.27,2.94,815643,77246,38.84,61.16,52.75,56.6,32.21,12.19,33.42,66.48,2.38,2.94,0.1,0.1,95.3,1.86,1936,-0.36,126,44.9,0.09,13.44,29.91,25.79,0.3,57.12,0.03,0.27,9.76,73.42,21.02,37.61,5.3,67.04,3.31,88.12,6.25,74.48,0,0.65,0.84,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,4.49,0,0,0,0,0,0,93.02,92.84,0.06,0,92.77,0.19,0.26,0.27,0.47,32.08,0.41,0.17,0.7,0.35,6.67,0.1,0.05,4.37,4.13,0.87,0,0.15,0.08,26.16,0,7.28,8.21,20.28,19.04,2.63,0.04,0,0,0,0,0,15.12,0,0.36,"1,412",933,66.07648725,562,347,62,"1,298",10,318,52,116,68,2,28,22,0,0,37,10,27,1,496,38,10,10
5009,51.94,39.3,8.76,"164,017,000",1.9,0.33,0,0,1.37,0.05,0.11,0.04,0,98.1,64.93,0,32.78,0.05,0.14,0,0.15,0.05,25114418,19128,4434260,3377,2763,14925,7.62,4029,15491,0,28.01,46.3,0.18,2.02,0.51,3.27,614116,69650,42.09,57.91,52.89,57,36.53,13.4,32.6,64.05,1.22,0,0.08,0,99.09,0.84,1313,0.08,233,81,0.1,11.2,13.82,11.27,0.57,66.87,0.06,0.21,26.36,134.82,27.48,69.67,6.18,98.11,0.05,89.72,4.49,76.62,2.5,1.68,0,0,0,0.06,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.03,96.03,0.67,0,95.36,0,0,0.06,0.05,9.13,0,0,0,4.33,0,2.23,0,19.71,19.23,4.33,0,0.26,0.28,11.28,0,0.19,0,0,80,1.52,0.63,0,0,0,0,0,16.75,0,0.08,"1,001",639,63.83616384,311,199,64,992,0,146,43,80,57,0,13,3,0,0,20,2,15,0,288,12,9,21
5011,59.12,25.97,14.92,"42,083,000",15.81,0,0,0,0.85,14.89,0.04,0.03,0,84.19,81.58,0,2.59,0,0.01,0,0.01,0,12075993,66718,2879388,15908,50000,1649,7.18,3950,626,0,33.71,31.2,1.66,2.3,1.23,2.78,539607,82166,32.34,67.66,53.47,58,32.67,8.84,21.55,63.54,0,0,1.66,0,98.34,1.1,181,-0.07,164,7.1,1.57,1.49,20.82,16.76,9.36,37.22,0,0.62,1.4,30.82,15.28,11.18,10.99,26.87,8.06,92.82,4.97,74.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.33,86.53,0,0,86.53,0,0.26,21.56,0,0,0.09,3.54,0.09,1.29,0,0,0,1.05,44.71,26.98,0,0.15,0.02,49.6,0,0.19,0.16,1.24,26.24,0.04,19.47,0.01,0,0.01,0.01,0,0.17,0,1.1,111,63,56.75675676,66,45,68,83,0,36,0,10,1,0,0,0,0,0,10,2,1,0,53,14,4,2
5013,81.19,15.84,2.97,"5,523,000",6.32,0,0,0,2.63,0.5,3.19,0,0,93.68,81.87,0,11.58,0,0.2,0,0.03,0,2176905,21554,-61537,-609,50000,2849,16.83,5000,3750,0,27.62,27.87,0.79,4.99,1.26,2.27,480703,61897,35.1,64.9,64.24,57.9,34.44,11.88,28.71,46.53,2.97,0,7.92,0,91.09,0,101,0.29,186,4.7,0.24,0.77,16.42,14.22,0.85,47.26,0,0.34,1.82,94.74,58.25,11.18,9.52,26.22,1.87,88.12,7.92,74.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.19,97.19,0,0,97.19,0,0,0.19,0,0,0,0,3.81,0,0,0,0,0,8.84,50.98,0,0.15,0.02,1.78,0,0.19,0.16,1.24,80,0.04,2.39,0.01,0,0.01,0.01,0,0.17,0,0,57,28,49.12280702,29,13,45,64,0,16,0,2,4,0,0,0,0,0,4,0,3,0,23,8,2,1
5015,48.5,35.93,15.57,"363,617,000",0.94,0.01,0,0,0.6,0.08,0.18,0.07,0,99.06,88.77,0.01,10.16,0.02,0.04,0.01,0.03,0.02,82446413,70527,18281547,15639,9210,9145,8.21,500,7500,0,21.11,57.52,0.08,0.73,0.21,2.32,683129,83790,41.25,58.75,54.15,56.2,29.35,11.12,29.77,63.13,1.8,0.68,0,0,99.14,0.86,1169,0.12,248,72,0.01,13.53,18.79,15.01,0.07,63.87,0,0.34,21.97,52.21,12.39,84.62,3.1,52.15,0.11,89.73,5.47,76.48,2.5,1.68,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,99.42,98.6,0.28,0,98.32,0,1.1,0.07,0.05,1.49,1.65,0.11,0,4.62,9.57,0.1,0,0,10.56,0,0,0.3,0.02,27.49,0,0,0.16,1.24,10.6,0,0,0,0,0,0,0,16.38,16.38,0.26,896,565,63.05803571,353,223,63,897,1,237,24,58,32,1,12,3,0,0,14,6,13,0,329,7,1,14
5017,47.08,16.49,36.43,"148,270,000",96.64,86.42,9.85,0,0.1,0,0.18,0.09,0,3.36,0.5,0,2.8,0,0.01,0.01,0.02,0.02,49289555,169380,39097560,134356,1200,52673,76.63,13935,56029,112713,0.23,1.22,21.47,9.7,18.88,2.46,3139169,320397,54.38,45.62,36.4,58.4,38.2,12.37,31.96,42.61,0,0,8.93,0,90.03,3.09,291,-0.24,1057,74.6,71.98,66.27,88.87,85,83.75,2.03,39.06,5.81,78.36,51.06,58.25,2.79,84.46,80.15,24.72,72.16,8.25,72.51,85.35,9.23,0,0,0,60,0.9,0,0,8.33,0,0,0,0,8.49,97.59,0,81.86,71.78,0,0,0,0,0,0,1.47,1.47,0,0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,45,14,31.11111111,162,58,36,56,0,2,0,5,1,4,2,140,0,32,0,1,6,0,18,29,83,0
5019,60.74,34.75,4.51,"17,498,000",32.36,23.78,0.38,0,4.91,0.6,0.38,2.3,0,67.64,40.05,7.5,18.8,0,0.25,0.01,0.95,0.08,2397641,6360,-273464,-725,755,21320,15.38,3060,22163,0,10.02,17.93,4.77,4.5,6.9,3.66,661236,94828,32.28,67.72,53.39,59.1,39.53,9.28,29.44,64.46,1.33,0.53,7.43,0,90.72,1.86,377,-0.03,273,18.6,2.28,5.34,28.76,23.21,10.06,35.1,0.09,0.9,15.44,54.43,42.75,20.92,34.69,55.01,0,87.53,7.69,70.29,2.5,1.68,0.25,0,0,0.06,1.15,0,0,2.48,0,0,0,0,0.04,0.02,0,13.38,35.7,0,0,0.02,0,0,0,56.1,55.76,1.26,0.23,49.56,0,0.26,0.11,0,0,0,0,0,2.35,2.35,2.35,0,2.35,8.63,9.74,0,0.15,0.02,1.78,0,0.19,0.16,1.24,0.47,0.04,0.04,0.01,0,0.01,0.01,0,98.67,0,0,230,155,67.39130435,133,81,61,231,2,15,0,27,14,1,9,16,0,1,13,3,8,0,97,6,13,12
