GEOINT,Tot_Qtr_WaterViol,Mean_Nitrate_Levels
5001,987.5,0
5003,1030.75,0
5005,1023.75,0
5007,874.75,0
5009,1010,0
5011,699.25,0
5013,759.25,0
5015,1671.25,0
5017,1527.25,0
5019,1382.5,0
5021,732,0
5023,224,0
5025,523.5,0
5027,945,0
5029,263.5,0
5031,548.5,0
5033,575.25,0
5035,1350.75,0
5037,692.5,0
5039,750.5,0
5041,1484,0
5043,1570,0
5045,465.25,0
5047,2449.25,0
5049,840.75,0
5051,352,0
5053,183,0
5055,107,0
5057,2943.5,0
5059,1416.75,0
5061,1029.25,0
5063,1193.5,0
5065,530,0
5067,1377.5,0
5069,839,0
5071,467.25,0
5073,491,0
5075,178,0
5077,1795,0
5079,870,0
5081,1528.5,0
5083,1705,0
5085,458,0
5087,596,0
5089,922.75,0
5091,1516.5,0
5093,1194.5,0
5095,1589.25,0
5097,3303.75,0
5099,926.75,0
5101,2617.5,0
5103,1480.25,0
5105,1915,0
5107,759.75,0
5109,1449.5,0
5111,271,0
5113,713.25,0
5115,222,0
5117,532.5,0
5119,226,0
5121,575,0
5123,421.5,0
5125,489.5,0
5127,1145.75,0
5129,4564.5,0
5131,877.75,0
5133,921,0
5135,908.5,0
5137,889.25,0
5139,4833.75,0
5141,632,0
5143,692.5,0
5145,1118.25,0
5147,500.5,0
5149,1446.75,0
17001,779,1.214893617
17003,166.5,0
17005,500,0
17007,342.5,0
17009,336,0
17011,990.25,0
17013,417.5,0
17015,1618.75,0
17017,366,0
17019,1157.75,0
17021,657.5,1.023255814
17023,605.5,0
17025,383,0
17027,818,1.685714286
17029,721.75,0
17031,1550.75,0
17033,158.5,0
17035,404.75,0
17037,1380.5,2.142857143
17039,1167.5,0
17041,287.5,0
17043,616.75,0
17045,1061.25,0.59375
17047,157,0
17049,503.25,0
17051,1423.75,0
17053,362.25,0
17055,213.25,0
17057,845.5,0
17059,245.5,0
17061,458,0
17063,2464.25,0
17065,165.25,0
17067,1450,0
17069,312,0
17071,661,0
17073,3614.5,0.045961538
17075,1351.5,0
17077,452.5,0
17079,347.25,0
17081,368.5,0
17083,383,0
17085,1388,0
17087,1092.5,0
17089,1574.25,2.7
17091,5026.25,0
17093,1125,0
17095,851.5,0
17097,3319,0
17099,3395.5,0.108108108
17101,587,0
17103,2915.75,0
17105,2109.5,0
17107,331.5,2.052631579
17109,5694.5,0
17111,1209,0
17113,2140.75,0.038461538
17115,399.5,1.189189189
17117,3046.25,0
17119,698.5,0
17121,550,0
17123,682,0
17125,279.5,0
17127,264.25,0
17129,197,0
17131,1033.5,0
17133,195,0
17135,750.75,0
17137,877.5,0
17139,307,0
17141,1117.75,0.782608696
17143,887,0
17145,406.5,0
17147,365,0
17149,1415.75,1.045454545
17151,615.25,0
17153,106.25,0
17155,199.75,0
17157,876.5,0
17159,303,0
17161,2229,0.077096774
17163,733.25,0
17165,320.25,0
17167,720.75,0
17169,335,0
17171,303,0
17173,677.5,0
17175,1472.75,0
17177,962,0
17179,1162,0
17181,250.5,0
17183,1136.75,0
17185,706,0
17187,745,0
17189,438.75,0
17191,739,0
17193,197,0
17195,666.75,1.337209302
17197,2366.75,0
17199,1036,0
17201,708.75,0.473684211
17203,1495.25,0
18001,4085.75,0
18003,739,0
18005,156.5,1.677272727
18007,1093.5,0
18009,324,0
18011,368,0
18013,842,0
18015,537.5,0
18017,528.5,0
18019,821.75,0
18021,531.75,0
18023,1402.75,0
18025,186.75,0
18027,466,0
18029,1014,0
18031,3586,0
18033,913.5,0
18035,641.75,0
18037,720.75,0
18039,1780,0.96547619
18041,729.75,0
18043,100.5,0
18045,637,0
18047,1502.5,5.609090909
18049,973.5,0
18051,976.75,0.290178571
18053,271.5,0
18055,1053.5,0
18057,1103.75,0
18059,10347.75,0
18061,579,0
18063,475,0
18065,2138.5,4.75
18067,1244,0
18069,1927.25,0
18071,1188,0
18073,685.25,0
18075,757,0
18077,1026,0
18079,2897,0
18081,2423.25,0
18083,811.75,1.320967742
18085,3937.75,0.795098039
18087,686.5,0
18089,6962,0
18091,6605.75,0
18093,1396,0
18095,646.5,0
18097,437.5,0.523809524
18099,6438,0
18101,822.25,0
18103,1810,0
18105,654.75,0
18107,97,0
18109,1744,0
18111,681.5,0
18113,1009.5,0
18115,22,0
18117,1375,0
18119,1230,0
18121,1935.5,2.095992188
18123,651.75,0
18125,957.25,0
18127,3037.25,0
18129,2470,2.979166667
18131,471.25,0
18133,1416,0
18135,695.25,0
18137,979,0
18139,649,0
18141,2323.75,0.386190476
18143,837,0
18145,1391.5,0
18147,1295,0
18149,461.25,0
18151,2573.5,0
18153,256.5,0
18155,486.25,0
18157,1530.5,0.413888889
18159,220,0
18161,70.75,0
18163,104,0
18165,2931,4.63027027
18167,1127.25,0
18169,398.5,0
18171,1336.75,0
18173,830,0
18175,2717.5,0
18177,485.25,0
18179,551.5,0
18181,1698,0
18183,518.25,0
19001,413,0
19003,1826.75,0
19005,356.75,0
19007,717,0
19009,155,0
19011,720,0.782993197
19013,416,3.228666667
19015,875.5,0.153142857
19017,571,3.860714286
19019,245.5,0.691428571
19021,2997.25,4.577200461
19023,215.5,2.086825397
19025,532.25,0.033870968
19027,497.5,0.324857143
19029,237,2.350666667
19031,1031.5,1.755142857
19033,1576,0
19035,450,1.322306741
19037,306,0
19039,485.25,0
19041,1051.5,2.100857143
19043,391.75,0.509275362
19045,1065.75,2.245957447
19047,619,4.962627595
19049,550.25,0.394117647
19051,1902,0
19053,240.25,0
19055,672,4.611619048
19057,428.5,0
19059,482,0
19061,1100,1.145
19063,42,0
19065,343.75,0
19067,118,0
19069,375.75,2.726428571
19071,318,0
19073,719.5,0.294372294
19075,225.5,0
19077,607.5,5.184095238
19079,223,0
19081,196,0
19083,571.5,0
19085,523,0.917073171
19087,744.5,0
19089,1264.25,3.893877551
19091,199,0.835
19093,449,5.178979076
19095,839.75,1.419125
19097,748,0
19099,1348.25,4.496740741
19101,266.5,0
19103,7473.75,0.271794872
19105,1245.75,2.815362812
19107,304,0
19109,1084.25,0
19111,905.75,1.328282828
19113,846.5,0.655422741
19115,843.25,4.47416
19117,1204.5,0
19119,822,9.725694834
19121,551,4.759666667
19123,1003.25,0
19125,517,0
19127,532,1.23447619
19129,321,1.517241379
19131,564,4.924642857
19133,620,4.010357143
19135,416,0
19137,1088.75,1.173333333
19139,4249,5.72
19141,326,0
19143,286,0
19145,2230,5.800416667
19147,634.5,0
19149,1186.75,1.581461538
19151,555.75,1.353809524
19153,479.5,0.298285714
19155,779,2.237241379
19157,210,0
19159,563.75,0
19161,287.25,9.013347985
19163,1343,0.786666667
