GEOID,futExAst,futInFlood,futLaborLost,futCoastPL.x,pc2020q0.5,PC2040q0.5,PC2080q0.5,VC2020q0.5,VC2040q0.5,VC2080q0.5,YL2020q0.5,YL2040q0.5,YL2080q0.5,hpl852020B,hp852040B,HPL2080B,LLP2020Bq0.5,LLP8.52040q0.5,LPL852080Bq0.5,mort2020b,mort2040b,mort2080b,watStress2030,watStress2040,watSupply2030,watSupply2040,seasVar2030,seasVar2040,slopeHisp,whiteSlope,slopeBlack
5001,43.1848865,0.249636166,64.05535886,NA,-0.029432187,0.066072346,0.204364616,0.170578993,0.976725994,2.533731196,-9.215157741,-15.15307613,-41.80132347,-0.304871728,-0.794864861,-2.029632262,-0.071372465,-0.163600151,-0.473458719,5.827969194,14.58217055,38.32194194,0.194799316,0.205171181,0.625234275,0.613451446,0.509174649,0.517588032,0.169793499,-0.232432721,-0.115677101
5003,125.1892198,-0.125867949,64.87994994,NA,-0.015904932,0.048053537,0.139141083,0.230303217,0.875462559,2.482528446,-2.923114093,-5.295333889,-25.34241494,-0.339602705,-0.796832596,-2.051691693,-0.073068796,-0.164731732,-0.467200973,4.876962288,11.33479373,32.38134315,0.119702265,0.116354146,0.45338823,0.472678926,0.720689511,0.72556439,0.065693248,-0.03244285,-0.125611143
5005,22.48199679,0.107022439,56.11338176,NA,0.041872282,0.205983592,0.4121211,0.243270622,1.087940897,2.883199978,NA,NA,NA,-0.285819575,-0.715398566,-1.803219234,-0.054928748,-0.114442287,-0.349262064,4.046618985,9.97476574,25.37678758,0.261242477,0.276008209,0.335821235,0.330477844,0.62387934,0.635121678,0.264791359,-0.348625881,0.059076828
5007,17.20213253,0.021146503,47.95118265,NA,0.02060261,0.201540628,0.399120341,0.241942697,0.982041001,2.906920498,NA,NA,NA,-0.280125118,-0.67125228,-1.759477315,-0.079654463,-0.135910964,-0.362528344,2.9303306,6.246460305,15.77940366,0.204372681,0.210594943,0.947674139,0.925589398,0.469730024,0.477378512,0.174676136,-0.225673672,0.028215235
5009,19.93766799,0.071600341,50.05606816,NA,0.043941143,0.298675234,0.636256872,0.335625652,1.218586577,3.194043888,NA,NA,NA,-0.26681507,-0.621743071,-1.555006777,-0.043767577,-0.074026116,-0.25352911,2.077178219,5.561737503,14.24389585,0.261242477,0.276008209,0.335821235,0.330477844,0.62387934,0.635121678,0.317709334,-0.458794578,0.05082912
5011,77.5641388,-0.150993403,66.03608534,NA,-0.030191262,0.059647826,0.191252809,0.201887434,0.950001327,2.600530312,NA,NA,NA,-0.357914282,-0.78981259,-1.994744815,-0.066543571,-0.14597737,-0.431836662,6.088787429,13.89972653,38.60796548,0.119702265,0.116354146,0.45338823,0.472678926,0.720689511,0.72556439,0.380172183,-0.412663164,-0.050873136
5013,117.1895673,-0.27286196,65.94895382,NA,-0.038759805,0.07332324,0.210224395,0.20516353,0.965563001,2.625678608,NA,NA,NA,-0.323157603,-0.73280922,-1.905564551,-0.066632413,-0.138680082,-0.406221663,4.491190256,9.6894521,27.14450889,0.119702265,0.116354146,0.45338823,0.472678926,0.720689511,0.72556439,0.561364152,-0.419859103,-0.180798669
5015,19.359493,-1.107200487,50.72785851,NA,0.059174779,0.280418488,0.592689377,0.30968191,1.145773125,3.208115393,NA,NA,NA,-0.274470047,-0.583338008,-1.51506895,-0.035870406,-0.071638815,-0.245992301,3.876350136,7.889113174,20.31584299,0.261242477,0.276008209,0.335821235,0.330477844,0.62387934,0.635121678,0.629020325,-0.821354342,0.041550095
5017,44.25313666,1.009508756,64.96647115,NA,-0.06951658,-0.043604186,-0.050133557,0.206204476,0.723330004,2.159489175,-9.103452613,-20.35125742,-48.20642077,-0.382407082,-0.911623397,-2.18654861,-0.088398482,-0.215807002,-0.540419256,7.664880819,18.67125666,48.84508757,0.058501186,0.05698061,39.68694311,38.39272361,0.603388569,0.613833734,0.183323156,0.004309969,-0.287589395
5019,94.4787855,-0.22019508,62.56573552,NA,-0.024669102,0.081250455,0.211314233,0.255793612,0.887797665,2.607779978,-11.23749421,-16.29968215,-45.77814855,-0.397734192,-0.783231985,-1.978035617,-0.069158492,-0.145885994,-0.423173408,4.818582528,10.36781108,28.85783041,0.119702265,0.116354146,0.45338823,0.472678926,0.720689511,0.72556439,0.117065026,-0.055474704,-0.094803319
