GEOID,sqkm,1997,2002,2007,2012,2017,Dens1997,Dens2002,Dens2007,Dens2012,Dens2017,Adens_Int,Adens_Slope
5001,2561.013146,3088.4,2848.9,1915.37,4805.05,2640.138,1.205928991,1.112411314,0.747895419,1.876230119,1.030895919,1.11192182,0.041375266
5003,2396.668938,5410.1,4665.432,3892.898,4212.53,2949,2.257341393,1.946631813,1.624295262,1.757660365,1.230457805,2.211825052,-0.224273862
5005,1435.504137,28253.388,24039.41,23203.814,19350.546,23850,19.68185759,16.74631886,16.16422649,13.47996533,16.61437218,18.41761296,-0.940132435
5007,2196.053836,350313.466,329310.79,308580.312,302491.476,297923.526,159.5195255,149.9556999,140.5158229,137.7431969,135.663125,156.6645348,-5.9925304
5009,1528.080514,107935.556,120394.614,121657.194,104202.052,125525.096,70.63473097,78.78813511,79.61438739,68.19146704,82.14560349,73.38984941,1.242507697
5011,1681.512201,11284.16,13964.8,16614.07,12296.2,6932,6.710721453,8.304905544,9.880433808,7.312584466,4.122479751,8.499985901,-0.616880448
5013,1627.975429,4185.2,3669,1639.8,2973,3346,2.570800471,2.253719519,1.00726336,1.826194638,2.055313576,2.234358047,-0.145849867
5015,1631.823636,169161.496,183531.312,191429.468,190330.128,209273.842,103.66408,112.470066,117.3101454,116.6364574,128.2453798,104.9994275,5.3328991
5017,1669.835058,6781.17,7122.8,3599.008,4366.58,4679.142,4.060981932,4.265571001,2.155307485,2.614976838,2.8021582,4.013447417,-0.416824163
5019,2243.130283,25583.54,18425.05,16354.602,11479.6,11811.8,11.40528492,8.213990128,7.290972853,5.117669752,5.265766367,10.5338083,-1.537535748
5021,1656.214474,7681.45,9615.996,7779.26,4552.59,22717.14,4.637956086,5.806008914,4.697012447,2.748792546,13.71630327,3.301319053,1.5099478
5023,1434.077953,78166.24,65715.75,50841.264,51549.088,43595.9,54.50626993,45.82439181,35.45223179,35.94580608,30.39995135,52.04397477,-5.809122289
5025,1548.23971,41894.57,50745.6,81821.2,63925.67,70741.94,27.05948551,32.77631989,52.84788878,41.28925875,45.6918522,30.77742658,4.577767224
